Time [s], Analyzer Name, Decoded Protocol Result,,,,Register,Sub-Register,Read,Write,Comment
0,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.000027768,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,"We are accessing the register bank 0, which in this case are adressed 0x00 to 0x7F"
0.000054956,I2C,0x00 + ACK,,,,,0x00,,,
0.000113072,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.000140776,I2C,0x00 + ACK,,,,WHO_AM_I,,,,"We are now looking at adress 0x00 in register bank 0, which is the WHO_AM_I. We are supposed to obtain 0xEA, which we do."
0.000174712,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.0002014,I2C,0xEA + NAK,,,,,,0xEA,,
0.000278272,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.00030604,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,Accessing once again the register bank 0
0.000333228,I2C,0x00 + ACK,,,,,0x00,,,
0.000391344,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.000419112,I2C,0x06 + ACK,,,,PWR_MGMT_1,,,,"We are now setting up the power management of the module. We check to see if the values present are correct. If they are not, we change them to 0x81, which is the case."
0.00045286,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.000479552,I2C,0x01 + NAK,,,,,,0x01,,
0.000552668,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.000580436,I2C,0x06 + ACK,,,,PWR_MGMT_1,,,,
0.000607624,I2C,0x81 + ACK,,,,,,,0x81,
0.050687188,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.050714956,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,
0.050742144,I2C,0x00 + ACK,,,,,0x00,,,
0.050800264,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.050827964,I2C,0x06 + ACK,,,,PWR_MGMT_1,,,,
0.0508619,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.050888596,I2C,0x41 + NAK,,,,,,,,
0.050961712,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.05098948,I2C,0x06 + ACK,,,,PWR_MGMT_1,,,,
0.051016668,I2C,0x01 + ACK,,,,,0x01,,,
0.051087344,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.051115112,I2C,0x7F + ACK,,,,,,,,
0.051142304,I2C,0x00 + ACK,,,,,,,,
0.051200356,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.05122812,I2C,0x06 + ACK,,,,,,,,
0.051261872,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.051288564,I2C,0x01 + NAK,,,,,,,,
0.051361684,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.051389444,I2C,0x06 + ACK,,,,,,,,
0.051416636,I2C,0x01 + ACK,,,,,,,,
0.051488568,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.051516332,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,
0.051543524,I2C,0x00 + ACK,,,,,,0x00,,
0.05160164,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.051629404,I2C,0x05 + ACK,,,,LP_CONFIG,,,,
0.05166334,I2C,Setup Read to [0x69] + ACK,,,,,,,,
